# roi_statistic golden reference -- generated by fpga/sim/gen_frames.py
# DO NOT EDIT BY HAND; regenerate instead.
# meta width=640 height=480 frames=5 seed=20260910 bytes=921600 rgb888_interleaved_rgb
case,frame,x0,y0,x1,y1,sum_r,sum_g,sum_b,count
full_frame,0,0,0,640,480,39235654,39134742,39146537,307200
full_frame,1,0,0,640,480,0,0,0,307200
full_frame,2,0,0,640,480,78336000,78336000,78336000,307200
full_frame,3,0,0,640,480,255,255,255,307200
full_frame,4,0,0,640,480,39155427,39233927,39149892,307200
center_roi,0,160,120,480,360,9792366,9793635,9792296,76800
center_roi,1,160,120,480,360,0,0,0,76800
center_roi,2,160,120,480,360,19584000,19584000,19584000,76800
center_roi,3,160,120,480,360,255,255,255,76800
center_roi,4,160,120,480,360,9786863,9810880,9782336,76800
top_left_1x1,0,0,0,1,1,116,241,145,1
top_left_1x1,1,0,0,1,1,0,0,0,1
top_left_1x1,2,0,0,1,1,255,255,255,1
top_left_1x1,3,0,0,1,1,0,0,0,1
top_left_1x1,4,0,0,1,1,58,147,15,1
bottom_right_1x1,0,639,479,640,480,212,218,153,1
bottom_right_1x1,1,639,479,640,480,0,0,0,1
bottom_right_1x1,2,639,479,640,480,255,255,255,1
bottom_right_1x1,3,639,479,640,480,0,0,0,1
bottom_right_1x1,4,639,479,640,480,217,231,140,1
single_pixel,0,320,240,321,241,243,202,1,1
single_pixel,1,320,240,321,241,0,0,0,1
single_pixel,2,320,240,321,241,255,255,255,1
single_pixel,3,320,240,321,241,255,255,255,1
single_pixel,4,320,240,321,241,241,87,13,1
empty_roi,0,100,100,100,200,0,0,0,0
empty_roi,1,100,100,100,200,0,0,0,0
empty_roi,2,100,100,100,200,0,0,0,0
empty_roi,3,100,100,100,200,0,0,0,0
empty_roi,4,100,100,100,200,0,0,0,0
inverted_roi,0,400,300,200,100,0,0,0,0
inverted_roi,1,400,300,200,100,0,0,0,0
inverted_roi,2,400,300,200,100,0,0,0,0
inverted_roi,3,400,300,200,100,0,0,0,0
inverted_roi,4,400,300,200,100,0,0,0,0
odd_offset,0,3,5,637,477,38232925,38130074,38127071,299248
odd_offset,1,3,5,637,477,0,0,0,299248
odd_offset,2,3,5,637,477,76308240,76308240,76308240,299248
odd_offset,3,3,5,637,477,255,255,255,299248
odd_offset,4,3,5,637,477,38145189,38215603,38123410,299248
oversized_roi,0,600,460,700,500,106516,102196,103271,800
oversized_roi,1,600,460,700,500,0,0,0,800
oversized_roi,2,600,460,700,500,204000,204000,204000,800
oversized_roi,3,600,460,700,500,0,0,0,800
oversized_roi,4,600,460,700,500,99553,100118,104392,800
