# fir_filter golden reference (per segment) -- generated by fpga/sim/gen_fir_vectors.py
# DO NOT EDIT BY HAND; regenerate instead.
# arithmetic: acc=sum(h[k]*x[n-k]); y=sat16(acc>>15)
case,seg_id,n_samples,reset,sat_count,out_count
impulse,1,96,1,0,96
dc_pos,2,240,1,0,240
dc_neg,3,240,1,0,240
nyquist_alt,4,240,1,0,240
sine_1p5hz,5,300,1,0,300
sine_0p8hz,6,300,1,0,300
sine_3p2hz,7,300,1,0,300
sine_0p2hz,8,300,1,0,300
sine_8hz,9,300,1,0,300
square_1hz_full,10,300,1,33,300
sine_small_amp,11,300,1,0,300
random_full,12,512,1,0,512
split_part1,13,200,1,0,200
split_part2,14,200,0,0,200
split_part3,15,112,0,0,112
